"","Individual","land_used"
"383","M2112ZJHXSH138",51
"384","M2112ZJHXSH144",51
"385","M2112ZJHXSH145",51
"386","M2112ZJHXSH146",51
"387","M2112ZJHJSH135",51
"388","M2112ZJHXSH148",51
"389","M2112ZJHXSH147",51
"390","M2201ZJHJSH179",52
"391","M2201ZJHJSH176",52
"392","M2201ZJHJSH174",52
"393","M2201ZJHJSH175",52
"394","M2201ZJHXSH181",52
"395","M2201ZJHJSH177",52
"396","M2201ZJHXSH180",52
"397","M2210ZJHJSH392",52
"398","M2210ZJHJSH399",52
"399","M2210ZJHXSH405",52
"400","M2210ZJHJSH393",52
"401","M2112ZJHJSH133",24
"402","M2112ZJCQJH150",24
"403","M2112ZJHJSH129",24
"404","M2112ZJCQJH151",24
"405","M2112ZJCQJH149",24
"406","M2112ZJHJSH132",24
"407","M2112ZJHJSH134",24
"408","M2112ZJHJSH130",24
"409","M2206ZJHJSH347",12
"410","M2206ZJCQJH342",12
"411","M2206ZJHJSH349",12
"412","M2206ZJHJSH348",12
"413","M2206ZJHJSH346",12
"414","M2206ZJCQJH344",12
"415","M2206ZJHJSH351",12
"416","M2204APHJSH259",23
"417","M2204APHXSH272",23
"418","M2204APCQJH247",23
"419","M2204APHJSH262",23
"420","M2204APHXSH274",23
"421","M2204APCQJH248",23
"422","M2204APHJSH261",23
"423","M2204APHXSH276",23
"424","M2204APHXSH277",23
"425","M2204APCQJH252",23
"426","M2204APHXSH275",23
"427","M2204APCQJH249",23
"428","M2204APCQJH250",23
"429","M2204APHXSH273",23
"430","M2204APHJSH263",23
"431","M2204APCQJH251",23
"432","M2204APHJSH264",23
"433","M2206ZJHXSH364",52
"434","M2206ZJHJSH360",52
"435","M2206ZJHJSH358",52
"436","M2206ZJHXSH361",52
"437","M2206ZJHJSH359",52
"438","M2206ZJHJSH355",52
"439","M2206ZJHJSH356",52
"440","M2206ZJHJSH354",52
"441","M2206ZJHJSH352",52
"442","M2210ZJHXSH419",51
"443","M2211ZJHXSH429",51
"444","M2210ZJHXSH408",12
"445","M2210ZJHXSH407",12
"446","M2210ZJBCSW409",12
"447","M2210ZJHMSW412",12
"448","M2210ZJBCSW411",12
"449","M2210ZJBCSW410",12
"450","M2112DBH07",45
"451","M2112DBH19",45
"452","M2112DBH08",45
"453","M2112DBH06",45
"454","M2112DBH22",45
"455","M2112DBH05",45
"456","M2112DBH10",45
"457","M2112DBH21",45
"458","M2112DBH03",45
"459","M2112DBH23",45
"460","M2112DBH20",45
"461","M2112DBH02",45
"462","M2112DBH12",45
"463","M2112DBH04",45
"464","M2112DBH31",45
"465","M2112DBH32",45
"466","M2112DBH16",45
"467","M2112DBH17",45
"468","M2112DBH18",45
"469","M2112DBH11",45
"470","M2112DBH24",45
"471","M2112DBH25",45
"472","M2112DBH13",45
"473","M2112DBH30",45
"474","M2112DBH15",45
"475","M2112DBH27",45
"476","M2112DBH28",45
"477","M2112DBH14",45
"478","M2112DBH26",45
"479","M2112DBH29",45
"480","M2112DBH47",52
"481","M2112DBH49",52
"482","M2112DBH46",52
"483","M2112DBH48",52
"484","M2112DBH34",52
"485","M2112DBH35",52
"486","M2112DBH58",52
"487","M2112DBH33",52
"488","M2112DBH60",52
"489","M2112DBH61",52
"490","M2112DBH62",52
"491","M2112DBH45",52
"492","M2112DBH50",52
"493","M2112DBH51",52
"494","M2112DBH52",52
"495","M2112DBH63",52
"496","M2112DBH41",52
"497","M2112DBH42",52
"498","M2112DBH43",52
"499","M2112DBH44",52
"500","M2112DBH53",52
"501","M2112DBH36",52
"502","M2112DBH37",52
"503","M2112DBH38",52
"504","M2112DBH57",52
"505","M2112DBH54",52
"506","M2112DBH55",52
"507","M2112DBH56",52
"508","M2112DBH39",52
"509","M2112DBH40",52
"510","M2212YFWDSW609",52
"511","M2212YFWDSW619",52
"512","M2212YFWDSW620",52
"513","M2212YFWDSW616",52
"514","M2212YFWDSW617",52
"515","M2212YFBCSH581",52
"516","M2212YFBCSH582",52
"517","M2212YFBCSW592",52
"518","M2212YFWDSW614",52
"519","M2212YFBCSW593",52
"520","M2212YFBCSW595",52
"521","M2212YFWDSW607",52
"522","M2212YFHMSW599",52
"523","M2212YFShSW588",52
"524","M2212YFWDSW606",52
"525","M2212YFHMSW600",52
"526","M2212YFWDSW615",52
"527","M2212YFQMSW587",52
"528","M2212SSHJSH645",11
"529","M2212SSHXSH655",11
"530","M2212SSHXSH650",11
"531","M2212SSHJSH644",11
"532","M2212SSBCSW626",11
"533","M2212SSHXSH659",11
"534","M2212SSBCSW622",11
"535","M2212SSHXSH651",11
"536","M2212SSHXSH656",11
"537","M2212SSHJSH641",11
"538","M2212SSHJSH643",11
"539","M2212SSHJSH636",11
"540","M2212SSHXSH654",11
"541","M2212SSHXSH649",11
"542","M2212SSCQJH632",11
"543","M2212SSHJSH638",11
"544","M2212SSBCSW627",11
"545","M2212SSBCSW624",11
"546","M2212SSHJSH640",11
"547","M2212SSHXSH660",11
"548","M2212SGHMSW712",21
"549","M2212SGHMSW711",21
"550","M2212SGHJSH674",21
"551","M2212SGBCSW694",21
"552","M2212SGHMSW709",21
"553","M2212SGHMSW710",21
"554","M2212SGHMSW708",21
"555","M2212SGHMSW713",21
"556","M2212SGHMSW714",21
"557","M2212SGBCSW700",21
"558","M2212SGBCSW701",21
"559","M2212SGHJSH684",21
"560","M2212SGHMSW706",21
"561","M2212SGHMSW715",21
"562","M2212SGHMSW707",21
"563","M2212SGBCSW692",21
"564","M2212SGBCSW693",21
"565","M2212SGBCSW696",21
"566","M2212SGHJSH672",21
"567","M2212SGHXSH667",21
"568","M2212SGHJSH678",21
"569","M2212SGHJSH682",21
"570","M2212SGBCSW695",21
"571","M2212SGHJSH683",21
"572","M2212SGBCSW698",21
"573","M2212SGBCSW699",21
"574","M2212SGBCSW702",21
"575","M2212SGBCSW704",21
"576","M2212SGBCSW705",21
"577","M2212SGCQJH661",21
"578","M2212SGHJSH671",21
"579","M2212SGHXSH664",21
"580","M2212SGHJSH681",21
"581","M2212SGHJSH677",21
"582","M2212SGHJSH679",21
"583","M2212SGHJSH680",21
"584","M2212SGHMSW719",21
"585","M2212SGHMSW716",21
"586","M2212SGHMSW717",21
"587","M2212SGHMSW718",21
