"","Library","Shannon","Richness","Type","Tissue"
"3754","M2212SZHJSH763P",0,0,"Eukaryote","Spleen"
"3755","M2212SZHJSH763P",0,0,"Bacteria","Spleen"
"3756","M2212SZHJSH763P",0,0,"RNA virus","Spleen"
"3757","M2212SZHJSH764CX100",0,0,"Eukaryote","Gut"
"3758","M2212SZHJSH764CX100",0,0,"Bacteria","Gut"
"3759","M2212SZHJSH764CX100",0,0,"RNA virus","Gut"
"3760","M2212SZHJSH764CX100",0,1,"DNA virus","Gut"
"3761","M2212SZHJSH764PX100",0,1,"RNA virus","Spleen"
"3762","M2212SZHJSH764PX100",0,0,"DNA virus","Spleen"
"3763","M2212SZHJSH764PX100",0,0,"Eukaryote","Spleen"
"3764","M2212SZHJSH764PX100",0,1,"Bacteria","Spleen"
"3765","M2212SZHJSH765CX100",0,1,"Eukaryote","Gut"
"3766","M2212SZHJSH765CX100",0,0,"DNA virus","Gut"
"3767","M2212SZHJSH765CX100",0,1,"RNA virus","Gut"
"3768","M2212SZHJSH765CX100",0,0,"Bacteria","Gut"
"3769","M2212SZHJSH765PX100",0,0,"Eukaryote","Spleen"
"3770","M2212SZHJSH765PX100",0,0,"DNA virus","Spleen"
"3771","M2212SZHJSH765PX100",0,1,"Bacteria","Spleen"
"3772","M2212SZHJSH765PX100",0,0,"RNA virus","Spleen"
"3773","M2212SZHJSH766CN",0,1,"DNA virus","Gut"
"3774","M2212SZHJSH766CN",0,0,"Bacteria","Gut"
"3775","M2212SZHJSH766CN",0,1,"RNA virus","Gut"
"3776","M2212SZHJSH766CN",0,1,"Eukaryote","Gut"
"3777","M2212SZHJSH766FX100",0,0,"DNA virus","Lung"
"3778","M2212SZHJSH766FX100",0.664849495885665,2,"RNA virus","Lung"
"3779","M2212SZHJSH766FX100",0,0,"Bacteria","Lung"
"3780","M2212SZHJSH766FX100",0,0,"Eukaryote","Lung"
"3781","M2212SZHJSH766P",0,0,"Eukaryote","Spleen"
"3782","M2212SZHJSH766P",0,0,"Bacteria","Spleen"
"3783","M2212SZHJSH766P",0,0,"DNA virus","Spleen"
"3784","M2212SZHJSH766P",0.602646040220508,2,"RNA virus","Spleen"
"3785","M2212SZHJSH767P",0,0,"Eukaryote","Spleen"
"3786","M2212SZHJSH767P",0,0,"DNA virus","Spleen"
"3787","M2212SZHJSH767P",0,0,"Bacteria","Spleen"
"3788","M2212SZHJSH767P",0,0,"RNA virus","Spleen"
"3789","M2212SZHJSH768CX100",0,0,"DNA virus","Gut"
"3790","M2212SZHJSH768CX100",0,1,"Eukaryote","Gut"
"3791","M2212SZHJSH768CX100",0,1,"Bacteria","Gut"
"3792","M2212SZHJSH768CX100",0,1,"RNA virus","Gut"
"3793","M2212SZHJSH768FX100",0,0,"DNA virus","Lung"
"3794","M2212SZHJSH768FX100",0,0,"Eukaryote","Lung"
"3795","M2212SZHJSH768FX100",0,0,"Bacteria","Lung"
"3796","M2212SZHJSH768FX100",0.613618437221862,2,"RNA virus","Lung"
"3797","M2212SZHJSH768P",0,0,"DNA virus","Spleen"
"3798","M2212SZHJSH768P",0,0,"Eukaryote","Spleen"
"3799","M2212SZHJSH768P",0,0,"Bacteria","Spleen"
"3800","M2212SZHJSH768P",0,0,"RNA virus","Spleen"
