"","Individual","Type","Richness"
"360","M2212SGBCSW701","Bacteria",0
"361","M2212SGBCSW702","Bacteria",0
"362","M2212SGBCSW704","Bacteria",0
"363","M2212SGCQJH661","Bacteria",0
"364","M2212SGHJSH671","Bacteria",0
"365","M2212SGHJSH672","Bacteria",0
"366","M2212SGHJSH677","Bacteria",0
"367","M2212SGHJSH678","Bacteria",0
"368","M2212SGHJSH680","Bacteria",0
"369","M2212SGHJSH681","Bacteria",0
"370","M2212SGHJSH682","Bacteria",0
"371","M2212SGHJSH683","Bacteria",0
"372","M2212SGHJSH684","Bacteria",1
"373","M2212SGHJSH685","Bacteria",0
"374","M2212SGHMSW706","Bacteria",0
"375","M2212SGHMSW707","Bacteria",0
"376","M2212SGHMSW708","Bacteria",0
"377","M2212SGHMSW711","Bacteria",0
"378","M2212SGHMSW714","Bacteria",1
"379","M2212SGHMSW715","Bacteria",2
"380","M2212SGHMSW716","Bacteria",0
"381","M2212SGHMSW717","Bacteria",1
"382","M2212SGHMSW719","Bacteria",1
"383","M2212SGHMSW720","Bacteria",0
"384","M2212SGHXSH662","Bacteria",0
"385","M2212SGHXSH663","Bacteria",0
"386","M2212SGHXSH664","Bacteria",0
"387","M2212SGHXSH667","Bacteria",0
"388","M2212SGHXSH668","Bacteria",0
"389","M2212SSBCSW622","Bacteria",0
"390","M2212SSHJSH636","Bacteria",0
"391","M2212SSHJSH638","Bacteria",0
"392","M2212SSHJSH640","Bacteria",0
"393","M2212SSHJSH641","Bacteria",1
"394","M2212SSHJSH643","Bacteria",0
"395","M2212SSHXSH649","Bacteria",0
"396","M2212SSHXSH650","Bacteria",0
"397","M2212SSHXSH654","Bacteria",0
"398","M2212SSHXSH656","Bacteria",0
"399","M2212SSHXSH659","Bacteria",0
"400","M2212SSHXSH660","Bacteria",0
"401","M2212SZHJSH754","Bacteria",0
"402","M2212SZHJSH755","Bacteria",0
"403","M2212SZHJSH756","Bacteria",0
"404","M2212SZHJSH757","Bacteria",0
"405","M2212SZHJSH758","Bacteria",1
"406","M2212SZHJSH759","Bacteria",2
"407","M2212SZHJSH760","Bacteria",0
"408","M2212SZHJSH761","Bacteria",0
"409","M2212SZHJSH762","Bacteria",0
"410","M2212SZHJSH763","Bacteria",0
"411","M2212SZHJSH764","Bacteria",1
"412","M2212SZHJSH765","Bacteria",1
"413","M2212SZHJSH766","Bacteria",0
"414","M2212SZHJSH768","Bacteria",1
"415","M2212SZHJSH769","Bacteria",0
"416","M2212SZHJSH770","Bacteria",0
"417","M2212SZHJSH852","Bacteria",1
"418","M2212SZHMSW724","Bacteria",0
"419","M2212SZHMSW725","Bacteria",0
"420","M2212SZHMSW726","Bacteria",0
"421","M2212SZHMSW727","Bacteria",0
"422","M2212SZHMSW728","Bacteria",0
"423","M2212SZHMSW730","Bacteria",1
"424","M2212SZHXSH739","Bacteria",0
"425","M2212SZHXSH741","Bacteria",0
"426","M2212SZHXSH743","Bacteria",0
"427","M2212SZHXSH744","Bacteria",1
